author,n_texts,basic_ttr_mean,basic_ttr_std,basic_ttr_cv,basic_tokens_per_sentence_mean_mean,basic_tokens_per_sentence_mean_std,basic_tokens_per_sentence_mean_cv,basic_chars_per_token_mean_mean,basic_chars_per_token_mean_std,basic_chars_per_token_mean_cv,basic_n_unique_unigrams_mean,basic_n_unique_unigrams_std,basic_n_unique_unigrams_cv,basic_n_unique_bigrams_mean,basic_n_unique_bigrams_std,basic_n_unique_bigrams_cv,basic_n_repeated_bigrams_mean,basic_n_repeated_bigrams_std,basic_n_repeated_bigrams_cv,basic_n_unique_trigrams_mean,basic_n_unique_trigrams_std,basic_n_unique_trigrams_cv,basic_n_repeated_trigrams_mean,basic_n_repeated_trigrams_std,basic_n_repeated_trigrams_cv,synt_mean_dependency_distance_mean,synt_mean_dependency_distance_std,synt_mean_dependency_distance_cv,synt_DEPREL_det_prop_mean,synt_DEPREL_det_prop_std,synt_DEPREL_det_prop_cv,synt_DEPREL_det_md_mean,synt_DEPREL_det_md_std,synt_DEPREL_det_md_cv,synt_DEPREL_root_prop_mean,synt_DEPREL_root_prop_std,synt_DEPREL_root_prop_cv,synt_DEPREL_root_md_mean,synt_DEPREL_root_md_std,synt_DEPREL_root_md_cv,synt_DEPREL_cc_prop_mean,synt_DEPREL_cc_prop_std,synt_DEPREL_cc_prop_cv,synt_DEPREL_cc_md_mean,synt_DEPREL_cc_md_std,synt_DEPREL_cc_md_cv,synt_DEPREL_conj_prop_mean,synt_DEPREL_conj_prop_std,synt_DEPREL_conj_prop_cv,synt_DEPREL_conj_md_mean,synt_DEPREL_conj_md_std,synt_DEPREL_conj_md_cv,synt_DEPREL_case_prop_mean,synt_DEPREL_case_prop_std,synt_DEPREL_case_prop_cv,synt_DEPREL_case_md_mean,synt_DEPREL_case_md_std,synt_DEPREL_case_md_cv,synt_DEPREL_nmod_prop_mean,synt_DEPREL_nmod_prop_std,synt_DEPREL_nmod_prop_cv,synt_DEPREL_nmod_md_mean,synt_DEPREL_nmod_md_std,synt_DEPREL_nmod_md_cv,synt_DEPREL_punct_prop_mean,synt_DEPREL_punct_prop_std,synt_DEPREL_punct_prop_cv,synt_DEPREL_obj_prop_mean,synt_DEPREL_obj_prop_std,synt_DEPREL_obj_prop_cv,synt_DEPREL_obj_md_mean,synt_DEPREL_obj_md_std,synt_DEPREL_obj_md_cv,synt_DEPREL_amod_prop_mean,synt_DEPREL_amod_prop_std,synt_DEPREL_amod_prop_cv,synt_DEPREL_amod_md_mean,synt_DEPREL_amod_md_std,synt_DEPREL_amod_md_cv,synt_DEPREL_appos_prop_mean,synt_DEPREL_appos_prop_std,synt_DEPREL_appos_prop_cv,synt_DEPREL_appos_md_mean,synt_DEPREL_appos_md_std,synt_DEPREL_appos_md_cv,synt_DEPREL_nsubj_prop_mean,synt_DEPREL_nsubj_prop_std,synt_DEPREL_nsubj_prop_cv,synt_DEPREL_nsubj_md_mean,synt_DEPREL_nsubj_md_std,synt_DEPREL_nsubj_md_cv,synt_DEPREL_mark_prop_mean,synt_DEPREL_mark_prop_std,synt_DEPREL_mark_prop_cv,synt_DEPREL_mark_md_mean,synt_DEPREL_mark_md_std,synt_DEPREL_mark_md_cv,synt_DEPREL_acl_prop_mean,synt_DEPREL_acl_prop_std,synt_DEPREL_acl_prop_cv,synt_DEPREL_acl_md_mean,synt_DEPREL_acl_md_std,synt_DEPREL_acl_md_cv,synt_DEPREL_advmod_prop_mean,synt_DEPREL_advmod_prop_std,synt_DEPREL_advmod_prop_cv,synt_DEPREL_advmod_md_mean,synt_DEPREL_advmod_md_std,synt_DEPREL_advmod_md_cv,synt_DEPREL_obl_prop_mean,synt_DEPREL_obl_prop_std,synt_DEPREL_obl_prop_cv,synt_DEPREL_obl_md_mean,synt_DEPREL_obl_md_std,synt_DEPREL_obl_md_cv,synt_DEPREL_advcl_prop_mean,synt_DEPREL_advcl_prop_std,synt_DEPREL_advcl_prop_cv,synt_DEPREL_advcl_md_mean,synt_DEPREL_advcl_md_std,synt_DEPREL_advcl_md_cv,synt_DEPREL_cop_prop_mean,synt_DEPREL_cop_prop_std,synt_DEPREL_cop_prop_cv,synt_DEPREL_cop_md_mean,synt_DEPREL_cop_md_std,synt_DEPREL_cop_md_cv,synt_DEPREL_xcomp_prop_mean,synt_DEPREL_xcomp_prop_std,synt_DEPREL_xcomp_prop_cv,synt_DEPREL_xcomp_md_mean,synt_DEPREL_xcomp_md_std,synt_DEPREL_xcomp_md_cv,synt_DEPREL_acl:relcl_prop_mean,synt_DEPREL_acl:relcl_prop_std,synt_DEPREL_acl:relcl_prop_cv,synt_DEPREL_acl:relcl_md_mean,synt_DEPREL_acl:relcl_md_std,synt_DEPREL_acl:relcl_md_cv,synt_UPOS_DET_md_mean,synt_UPOS_DET_md_std,synt_UPOS_DET_md_cv,synt_UPOS_NOUN_prop_mean,synt_UPOS_NOUN_prop_std,synt_UPOS_NOUN_prop_cv,synt_UPOS_NOUN_md_mean,synt_UPOS_NOUN_md_std,synt_UPOS_NOUN_md_cv,synt_UPOS_ADP_prop_mean,synt_UPOS_ADP_prop_std,synt_UPOS_ADP_prop_cv,synt_UPOS_ADP_md_mean,synt_UPOS_ADP_md_std,synt_UPOS_ADP_md_cv,synt_UPOS_PUNCT_md_mean,synt_UPOS_PUNCT_md_std,synt_UPOS_PUNCT_md_cv,synt_UPOS_VERB_prop_mean,synt_UPOS_VERB_prop_std,synt_UPOS_VERB_prop_cv,synt_UPOS_VERB_md_mean,synt_UPOS_VERB_md_std,synt_UPOS_VERB_md_cv,synt_UPOS_ADJ_md_mean,synt_UPOS_ADJ_md_std,synt_UPOS_ADJ_md_cv,synt_UPOS_ADV_md_mean,synt_UPOS_ADV_md_std,synt_UPOS_ADV_md_cv,synt_UPOS_PROPN_prop_mean,synt_UPOS_PROPN_prop_std,synt_UPOS_PROPN_prop_cv,synt_UPOS_PROPN_md_mean,synt_UPOS_PROPN_md_std,synt_UPOS_PROPN_md_cv,synt_UPOS_AUX_prop_mean,synt_UPOS_AUX_prop_std,synt_UPOS_AUX_prop_cv,synt_UPOS_AUX_md_mean,synt_UPOS_AUX_md_std,synt_UPOS_AUX_md_cv,synt_UPOS_PRON_prop_mean,synt_UPOS_PRON_prop_std,synt_UPOS_PRON_prop_cv,synt_UPOS_PRON_md_mean,synt_UPOS_PRON_md_std,synt_UPOS_PRON_md_cv,synt_UPOS_SCONJ_prop_mean,synt_UPOS_SCONJ_prop_std,synt_UPOS_SCONJ_prop_cv,synt_UPOS_SCONJ_md_mean,synt_UPOS_SCONJ_md_std,synt_UPOS_SCONJ_md_cv,synt_UPOS_total_words_mean,synt_UPOS_total_words_std,synt_UPOS_total_words_cv
wikipedia_pt,15,0.5146666666666667,0.049440681148027826,0.09606349963995044,34.38759425988528,5.3787317265300505,0.15641488863338687,5.367699710364832,0.2768281841062376,0.05157296403367955,221.6,22.433393476180612,0.1012337250730172,437.6666666666667,18.847761013926704,0.043064191197090713,103.0,30.45371194827605,0.2956671062939423,479.6666666666667,10.768118728560758,0.022449170386158634,32.86666666666667,18.646587840547078,0.5673404008280044,3.8198723211677854,0.2755477888291982,0.07213534004847566,0.12641713886231132,0.012128213479068525,0.09593804754811061,1.128041356576754,0.10696129147634233,0.09482036350239477,0.026288546781315467,0.006889161054895483,0.2620594098336368,9.38233841264801,2.9592804513171713,0.3154096901181763,0.03024028966981664,0.008462604346582359,0.27984534668756933,2.112748181408836,0.6934820922586606,0.328236984587642,0.05437279698857888,0.018159310669797972,0.33397786532137336,12.070716665309119,3.3090820201627205,0.2741413051035258,0.13186580682230026,0.013630762619279384,0.10336843908025323,1.7209309964247679,0.2501014861594845,0.1453291774505021,0.08277386227817495,0.020230890074476413,0.24441157531694288,3.177209982760864,0.663659787315202,0.20888131124984982,0.1552789075885056,0.0210854437186717,0.13579077832353667,0.02851147327971709,0.010538812761971975,0.3696340998789856,2.0627727190175706,0.6116662537156531,0.296526247451522,0.0579554056974385,0.010589602568212782,0.1827198419332404,1.1334730934215351,0.11003283391003266,0.09707582345680947,0.025410390283916617,0.007576137488818009,0.29815116588796703,5.093710565034096,0.9934844522949743,0.19504140245320833,0.03319560097946036,0.009900913988645961,0.2982598204735655,4.937559307510199,2.354405455044769,0.47683588356369444,0.018197130478388692,0.010616300426301928,0.5834051934127789,3.3565129641600233,1.7031403844133075,0.5074136172268661,0.015767659865601094,0.004886661023644727,0.30991669437933034,3.041806156806156,1.17562404250848,0.38648881023466175,0.01995296167191967,0.005868711363945271,0.2941273310921287,2.5547434047434043,1.016216248479623,0.39777624891517854,0.0405712074470741,0.008356622194418439,0.2059742048673264,6.029686129487987,1.6988050453068564,0.2817402114844593,0.009579549847460294,0.0036764872972942023,0.3837849748512873,12.16952380952381,5.708436646508212,0.46907641875360956,0.008835165974093598,0.003953305601391076,0.44745119819853146,2.0095238095238095,0.6088278605514112,0.3029712102270056,0.010367389475249874,0.005762139099951423,0.555794601303193,3.3414285714285716,2.4170216182776265,0.7233497788774427,0.01029603870536788,0.004367157174346349,0.4241589701939945,5.325873015873015,1.8059947834847974,0.339098355913159,1.1803527868396997,0.16044371573796723,0.1359286117903296,0.19402491604198574,0.05013840051709043,0.2584121747860507,5.093803354677366,1.052209535107122,0.20656657939905246,0.15908817307643658,0.010269665517270791,0.06455329342638537,1.821366664431397,0.2892786569269374,0.15882505295398375,5.117745720264055,1.0874595452658435,0.21248799856545728,0.07271715679598967,0.017007721506686738,0.23388870324512892,8.279361903444423,1.877190971224306,0.22673135842067096,1.9860804987275573,1.0724358007774766,0.5399759986891595,2.6153095814860516,0.9517938451321563,0.3639316170712513,0.08799343555006471,0.04941710213461384,0.5615998719188263,4.492031735130932,2.1559921221323433,0.4799592365456655,0.02126240773337826,0.006493124562624102,0.30538049331219586,1.7923390552802316,0.8022039646923389,0.44757377926293895,0.019455101870529214,0.007886376759083923,0.40536291259570767,2.3260461760461766,1.3275516487976287,0.5707331447109132,0.007045166325025921,0.004564998901187303,0.6479618351906699,5.118877551020408,2.2470575880896497,0.4389746708517605,529.9333333333333,9.106251123476088,0.01718376737352388
woolf,15,0.46075884477839774,0.019516166948672635,0.04235657583102707,23.13112718311328,12.352315294208031,0.5340126832740669,4.170105375356128,0.21200460100144292,0.05083914719621148,231.33333333333334,9.611501047232549,0.04154827542031361,435.6,16.13248718757101,0.037035094553652455,103.33333333333333,22.021634384222736,0.21311259081505873,481.73333333333335,7.657551517168869,0.015895830716514396,30.4,13.399360325883366,0.44076843177247915,7.2107139029774086,3.676675417851784,0.5098906248844004,0.08378182280705242,0.024271210953339162,0.2896954272436301,1.368055653700396,0.1884034470652064,0.13771621538612253,0.01943760329893997,0.01002578091709891,0.5157930616706056,8.432757914600021,4.740564787813578,0.5621606639040378,0.035575059116448,0.012050833188961805,0.33874386967329434,3.9267681875290577,1.696199165506949,0.43195805927476777,0.050092329824210115,0.01469559037380619,0.2933700713338286,14.932185526008213,8.472314931806704,0.5673861282429156,0.07736676815266959,0.01138391883025684,0.14714223047022848,2.3133966866971196,1.4303235678813373,0.6182785581505424,0.023670285724140143,0.006345419250679927,0.2680753128471344,5.034041171247054,5.064564722088202,1.006063428923762,0.17819008958368593,0.035466199374915255,0.19903575702653634,0.04458208515941125,0.01192471055238588,0.2674776316483838,3.4354012685945343,4.709939761009609,1.3710013453352727,0.03200143646939421,0.011621179326327244,0.3631455524642339,1.6345215725680122,0.8417916818243296,0.5150079974177293,0.005527622671819807,0.002496152264074573,0.45157790469311987,8.21904761904762,10.3907089027569,1.264222983533574,0.0945217951121049,0.01341608021200445,0.14193636712138918,2.845181656304097,1.5884853882935994,0.5583071944717403,0.025002955987296797,0.009998053651383551,0.39987486505448566,3.850960161842514,4.076184442825027,1.0584852274542236,0.005818167164863581,0.0032124722193744887,0.5521450533038804,6.4182539682539685,12.223577795368486,1.9045020430523423,0.06229200631712203,0.008844359479731898,0.141982254267204,3.585882281105284,3.2399070120987115,0.9035173935213702,0.04456378050894762,0.00802952581757442,0.18018053508638554,8.349525118156697,7.707111965195063,0.9230599173161769,0.022749854664448663,0.008622150672437528,0.378998055135333,15.149904447404449,13.766870622184667,0.9087100628244075,0.02129758696333679,0.007000360375708999,0.3286926536682267,2.1994557294557295,0.36026217037601055,0.16379605442895634,0.012296958271734434,0.004978800607580518,0.40488066215729945,4.578571428571427,5.692769138552221,1.2433505138803607,0.010199056306464819,0.006945981610724266,0.681041598556668,9.022185592185593,17.544893333351343,1.9446389296788067,1.6929899717334806,0.90257634949214,0.533125632497384,0.14144938684772482,0.023487666264694358,0.1660499687423859,7.0154294836556765,4.646173893546348,0.662279323649515,0.07855676214774023,0.010492404998451074,0.13356463163181553,2.3201463097037336,1.5030905923632307,0.6478430201046954,11.567555202509267,5.232307200043107,0.4523261059439855,0.12161796803734569,0.01283456109111125,0.10553178365198548,19.756472208849804,13.537234618643412,0.6852050546038012,5.489012280952555,4.878577716717922,0.8887897251837267,4.276718225379155,3.537111409044099,0.8270620655001216,0.03186620819838838,0.017511606382233907,0.5495353031403198,5.580797690196186,4.877953086792702,0.8740601895248461,0.05014154332786991,0.015215374704124917,0.30344847195135766,2.124739041101437,0.8927387225118004,0.4201639378965882,0.12105412004502072,0.029094526579287416,0.24034313386828135,2.6470217392548916,0.9784697787991513,0.36964931730201056,0.01706783688805645,0.007157756289976604,0.4193710273259866,4.777883597883598,4.829894463668884,1.0108857540623897,504.2,2.730776969498398,0.0054160590430353
wikipedia_eng,15,0.4860706362851854,0.036890027678625266,0.07589437609430351,29.63254787295035,6.447197266603077,0.21757147897796222,5.233175116175082,0.40425167039809623,0.07724787751676902,243.66666666666666,18.52668602956544,0.07603291120204696,437.8666666666667,13.76780232834496,0.03144291031138465,98.2,23.2200652146248,0.23645687591267617,483.8,6.656897604311313,0.013759606457857199,26.466666666666665,12.02299384314826,0.45426928878393935,5.677178843284281,0.9182852991924974,0.1617502855804458,0.07939274476630499,0.024529677019045862,0.30896622973862065,1.784131954993439,0.3679758878893569,0.20624925575681993,0.0184880814120602,0.004223444748824385,0.22844148371552148,9.035875050875052,2.4020963039188374,0.26583992036125087,0.033095700143478596,0.009641085770726516,0.29130931598152826,2.3209682875317554,0.7167408318688423,0.3088111266832791,0.0485224858890029,0.020437299125194625,0.4211923348681218,8.69512185798328,2.3818584915981886,0.27393043254607474,0.09082409843179487,0.01225778671459626,0.13496183200542694,2.245178087797204,0.23687528726928153,0.1055040081482736,0.04481922870328734,0.008964921802261615,0.20002400892731267,3.811029533650988,0.7333687343506897,0.19243323303457013,0.18097261198928752,0.03387250753249786,0.18716924710410274,0.037355840993327255,0.007730021324412458,0.20692938825264956,2.6177007721210623,0.8907818039879605,0.34029168401328797,0.07681254445587253,0.028749268222070894,0.3742782956316054,1.4445860325267574,0.22578491905813217,0.15629731561449944,0.010589710920102647,0.005098827905800508,0.4814888663411299,3.6328282828282825,1.231390824479697,0.33896202314330603,0.05008057945477473,0.0166067990230987,0.33160157497968784,3.623858034889616,1.5180116539395976,0.4188937975286432,0.027996269000411366,0.008614757917760283,0.30771092811094586,2.5097852537326224,0.8321321632270814,0.3315551248815058,0.009262781962710622,0.004369000139511971,0.4716725663089499,3.3860544217687076,1.3908066548517395,0.4107455113273846,0.02779823569390577,0.00803063976569222,0.2888902682213312,3.3944591304808025,3.403777273552201,1.0027451039217783,0.039815420357110345,0.010944958995108287,0.2748924636972646,5.568125759185596,1.654939721113036,0.2972166564993479,0.013954555545197407,0.0051365592633472,0.3680919285971093,10.080211640211642,4.1796679485525985,0.4146408922486515,0.013006082039005058,0.008276269588356349,0.6363384117934926,2.596825396825397,0.8254273498629291,0.3178601652895143,0.00997149444997432,0.003834017905123225,0.3844978227043087,2.47312925170068,1.0009930655060497,0.4047475742797121,0.011235365396285026,0.006543703546541627,0.5824201808964132,4.651772486772487,3.81369425464245,0.8198367967235828,1.7831800060627194,0.3686510223940217,0.20673797437198005,0.21038470873878995,0.056888374428206136,0.2704016597462783,4.997373442601588,1.3222910362728488,0.26459720320290414,0.0903099557183516,0.012522163457033834,0.13865761927828346,2.2390132423105045,0.27282435543819494,0.12185026434084836,8.246511847900548,2.147269612721429,0.26038519707797364,0.0885033101605697,0.012311224495074847,0.13910467837574494,11.795372083801931,3.0829334841625315,0.26136805708708327,3.3848219753754067,2.4122499755666045,0.7126667201748667,3.255918803418804,2.732433895425715,0.8392205274150524,0.05949580437655255,0.04570871107418278,0.7682678056571783,3.07749480229585,1.4074772674286593,0.4573451322740378,0.040143974822892524,0.014856174424267395,0.3700723331411494,1.8842228120778848,0.5060201726724067,0.26855644111132343,0.03417049064334727,0.01753894808919162,0.5132776193427682,1.902294146259956,0.45706945413642397,0.24027275436611872,0.014834508622760612,0.005857653957974597,0.3948667331648039,3.798994708994709,1.3499337930453574,0.3553397402342203,516.0666666666667,5.06340747304572,0.009811537539812142
lispector,15,0.5124086747897993,0.03289786431948585,0.06420239534972987,11.143145208401718,2.1083710429606177,0.18920789449741232,4.477916825081157,0.1580524783371836,0.0352959834921273,218.26666666666668,15.677402603140369,0.07182682927523076,450.26666666666665,15.722898072859333,0.03491908070667604,82.33333333333333,22.257155082825665,0.27032981881974494,490.4,5.435334133506158,0.011083470908454646,15.266666666666667,8.875863472415086,0.5813884370577567,3.349261249702176,0.2864969034951131,0.0855403272947397,0.11157501628423375,0.008325919832207197,0.07462172186466175,1.161200678139875,0.06049803054078296,0.052099548062350974,0.07590458918861809,0.01714083172931843,0.22582075619597322,4.145933547705522,1.0939410260623899,0.26385879403875345,0.03737109380228747,0.009617576359029921,0.25735335470542836,2.4527245564892626,0.710426736694429,0.2896479895448623,0.03939541778358017,0.010898550625684136,0.276645133846673,5.859658874724832,1.3967593802582192,0.23836871908756135,0.09054245784684034,0.01564233676939795,0.17276244914687636,1.6523548879758039,0.09997619274337298,0.06050527853967711,0.030663534079351053,0.010563015661918852,0.34448135151623077,2.70941186299081,0.5132398074185062,0.1894284934782715,0.16381355523762914,0.025451839484002328,0.15537077775451308,0.052296008360062936,0.012258153602687217,0.23439941186885005,1.9180965047326601,0.20421342557528124,0.10646671065371867,0.02708489922003316,0.007456371985449807,0.27529627948309854,1.238664850116257,0.14841651331503777,0.11981975051694403,0.007031951809805014,0.004415364848586436,0.6279003281037655,4.496428571428572,2.144991966707693,0.47704348743300556,0.053183170021175355,0.013508260759915921,0.25399502802366775,2.660785952339933,1.004079377157093,0.37736195061992545,0.032568051932131595,0.010653284590547263,0.3271084378257438,2.423793534095863,0.566551548123175,0.23374579565190284,0.007968449480910312,0.003968640022198338,0.4980441968924878,1.962142857142857,0.8903445599171985,0.45376133377651184,0.06334079003617846,0.01539676925024469,0.2430782634926166,1.8806766027992912,0.31518477320810157,0.16759115987244438,0.05190688948617422,0.012852693362544533,0.24761054822920842,3.546168486172395,0.2978975455382682,0.08400546863462992,0.020573725655728594,0.008541831563623217,0.4151815624723668,6.166770823489089,1.8674738458834659,0.3028284817671999,0.02784538917496369,0.008199696432418583,0.2944723229004493,1.704921866632393,0.294187687928887,0.1725520058640425,0.014524230646229642,0.006324458267191185,0.43544187786861926,1.7779797979797982,0.6382077532917497,0.3589510713321396,0.013030534460034753,0.004652357749251404,0.35703506740421115,3.9970533170533167,1.318728215653697,0.32992510007994635,1.1848482054439502,0.08405416187211145,0.07094086945982861,0.15288399493229682,0.01663841423752438,0.10883032095604604,3.3450503269751883,0.47216571261613866,0.14115354522725568,0.1071970969145342,0.015857238574712815,0.14792600761712257,1.7093905330396235,0.15254410873310906,0.0892388870680455,5.826320983680828,0.9544978104497374,0.16382513306823085,0.13381665865875172,0.018450681184514484,0.1378803010734702,4.6688624338283695,0.9162185280588697,0.19624020648378576,2.4247511365446153,0.6033774008831521,0.24884096012549697,2.0109800353468934,0.39606068028255015,0.196949086177392,0.030135438751295422,0.01309398709980315,0.4345046112607298,2.576556221556222,0.6412032584227081,0.24886057329477787,0.04053170941507774,0.01055144904236542,0.26032578429668435,1.7214286471008438,0.35906488282803717,0.20858539994251798,0.06695734243974093,0.017801836944353704,0.2658683319215467,1.8886231099670439,0.3704524144882366,0.19614946599626273,0.02199064116982036,0.006756721853850668,0.3072544270843497,2.43403483456115,0.7269784842475855,0.29867217754040803,527.4666666666667,7.899969861304775,0.014977192608641509
