author,orig_PC1,orig_PC2,prompt_PC1,prompt_PC2,distance,delta_PC1,delta_PC2
wikipedia_pt,-2.295538734596798,-4.49716852604987,-2.0917113956251834,2.0274729320929734,6.5278244263635505,0.20382733897161476,6.524641458142844
wikipedia_eng,0.09288014239326509,-1.1905255281190414,5.480855056650254,-1.159654583858721,5.388063352621435,5.387974914256989,0.030870944260320332
woolf,4.1135597529436545,2.0287956047859015,4.629960202317111,-0.6059088105166192,2.684834590831939,0.5164004493734566,-2.6347044153025205
lispector,-1.9109011607401214,3.6588984493830092,0.33771649122153946,2.964083201778403,2.353518551662048,2.248617651961661,-0.6948152476046063
