author,orig_PC1,orig_PC2,base_PC1,base_PC2,distance,delta_PC1,delta_PC2
woolf,4.1135597529436545,2.0287956047859015,-0.11836936455150553,0.8490456803060481,4.39329420137254,-4.23192911749516,-1.1797499244798533
wikipedia_eng,0.09288014239326509,-1.1905255281190414,-1.0068352991773195,-2.4563815793422505,1.6768320115167177,-1.0997154415705845,-1.265856051223209
lispector,-1.9109011607401214,3.6588984493830092,-0.8449232427650479,2.40659056437205,1.644561935735804,1.0659779179750735,-1.2523078850109592
wikipedia_pt,-2.295538734596798,-4.49716852604987,-2.700518827237948,-3.654455474101582,0.9349728142355969,-0.40498009264115,0.8427130519482877
