metric,author,original,baseline,change_pct
Riqueza Vocabular (TTR),lispector,0.5124086747897993,0.4557853204473214,-11.050428520888337
Riqueza Vocabular (TTR),wikipedia_eng,0.4860706362851854,0.5402950619072499,11.155667833892798
Riqueza Vocabular (TTR),wikipedia_pt,0.5146666666666667,0.5249975665624512,2.007299202548803
Riqueza Vocabular (TTR),woolf,0.46075884477839774,0.4643469303267845,0.7787339492337767
Tamanho de Frases,lispector,11.143145208401718,25.591189072712936,129.65858017732435
Tamanho de Frases,wikipedia_eng,29.63254787295035,29.95390079632407,1.0844593072169209
Tamanho de Frases,wikipedia_pt,34.38759425988528,32.60299468868096,-5.189661008900941
Tamanho de Frases,woolf,23.13112718311328,27.70961014903428,19.793600760033396
Densidade de Pronomes,lispector,0.06695734243974093,0.09917244462044869,48.11287456592253
Densidade de Pronomes,wikipedia_eng,0.03417049064334727,0.021497912249470553,-37.086322599655055
Densidade de Pronomes,wikipedia_pt,0.019455101870529214,0.022220846678419857,14.216038683818057
Densidade de Pronomes,woolf,0.12105412004502072,0.09547552820802722,-21.129881269204777
