author,delta_PC1,delta_PC2,abs_delta_PC1,abs_delta_PC2,distance_total
wikipedia_pt,-0.40498009264115,0.8427130519482877,0.40498009264115,0.8427130519482877,0.9349728142355969
woolf,-4.23192911749516,-1.1797499244798533,4.23192911749516,1.1797499244798533,4.39329420137254
wikipedia_eng,-1.0997154415705845,-1.265856051223209,1.0997154415705845,1.265856051223209,1.6768320115167177
lispector,1.0659779179750735,-1.2523078850109592,1.0659779179750735,1.2523078850109592,1.644561935735804
