metric,method,mean_abs_diff,mean_rel_diff,std_abs_diff
basic_ttr,baseline,0.03670310550748614,0.07426528282290706,0.03610547322959159
basic_ttr,prompt_steering,0.14826293805997806,0.2979108454840897,0.08647000644707968
basic_ttr,activation_steering,0.03963082202202891,0.0796623299738854,0.030757532659031857
basic_tokens_per_sentence_mean,baseline,10.937825219406143,0.5279212820932648,6.4832822046638965
basic_tokens_per_sentence_mean,prompt_steering,30.7119608866575,0.9182633092881746,46.07701995818827
basic_tokens_per_sentence_mean,activation_steering,10.219486524111012,0.4692981493575712,7.991666142362781
basic_chars_per_token_mean,baseline,0.1741443722539889,0.0378753033464793,0.1571672192999003
basic_chars_per_token_mean,prompt_steering,0.45167306868308543,0.1002347155087901,0.29655070093568164
basic_chars_per_token_mean,activation_steering,0.14921653768893425,0.03373182884340837,0.11658410618126266
basic_n_unique_unigrams,baseline,14.583333333333334,0.06308064339997296,13.39376187420312
basic_n_unique_unigrams,prompt_steering,80.05555555555556,0.3474692638290115,49.90444838142155
basic_n_unique_unigrams,activation_steering,15.583333333333334,0.06774490333449651,15.158920051997674
basic_n_unique_bigrams,baseline,40.5,0.09075794164398074,36.75517456281302
basic_n_unique_bigrams,prompt_steering,167.25,0.37690108231708963,95.90333675112666
basic_n_unique_bigrams,activation_steering,42.55555555555556,0.09575409642634532,39.03291244537428
basic_n_repeated_bigrams,baseline,23.666666666666668,0.2593236311822837,18.55031767151942
basic_n_repeated_bigrams,prompt_steering,109.38888888888889,1.2444236134487594,76.3923248866488
basic_n_repeated_bigrams,activation_steering,31.61111111111111,0.34336258281790594,20.320683028140532
basic_n_unique_trigrams,baseline,45.75,0.09368130681064349,40.635223988203
basic_n_unique_trigrams,prompt_steering,153.72222222222223,0.3149795431651876,114.5240114838334
basic_n_unique_trigrams,activation_steering,49.166666666666664,0.10075357570683655,47.23527737371115
basic_n_repeated_trigrams,baseline,9.222222222222221,0.5245999096648608,9.43885922620226
basic_n_repeated_trigrams,prompt_steering,91.83333333333333,5.509617429883448,83.82038620083507
basic_n_repeated_trigrams,activation_steering,13.694444444444445,0.7438965069754938,12.146297365145466
synt_mean_dependency_distance,baseline,2.942327343683178,0.3006053260599352,4.029482932813176
synt_mean_dependency_distance,prompt_steering,2.950966512924966,0.3622829096161921,3.609790525524698
synt_mean_dependency_distance,activation_steering,2.9280592698551646,0.29357866473818206,4.092212279133502
synt_DEPREL_det_prop,baseline,0.04910021883199096,0.6613730389325723,0.022705781716860322
synt_DEPREL_det_prop,prompt_steering,0.05451743947019735,0.7085031770688993,0.02688964701948355
synt_DEPREL_det_prop,activation_steering,0.049464038966907334,0.6717245059381114,0.023306955615486912
synt_DEPREL_det_md,baseline,0.12488649638623607,0.09253144766616435,0.0865140464024681
synt_DEPREL_det_md,prompt_steering,0.24024049914689793,0.17405709293728686,0.1839726831370312
synt_DEPREL_det_md,activation_steering,0.13683368109263241,0.09924185555786985,0.11400761510912837
synt_DEPREL_root_prop,baseline,0.02556697667136793,1.434908037092422,0.0127943337964157
synt_DEPREL_root_prop,prompt_steering,0.05435538470317087,2.333285001588354,0.0538914842523777
synt_DEPREL_root_prop,activation_steering,0.024451250299355836,1.490323247673782,0.013029742892133229
synt_DEPREL_root_md,baseline,3.6529448909899114,0.5003243336808894,3.40016421869972
synt_DEPREL_root_md,prompt_steering,5.746818585111903,0.7709662163897502,4.374937902491514
synt_DEPREL_root_md,activation_steering,2.9838090473560883,0.39503827007575376,3.3217748544033743
synt_DEPREL_cc_prop,baseline,0.01498633757874517,0.41902668732200843,0.013066203137857477
synt_DEPREL_cc_prop,prompt_steering,0.01871691953693117,0.5868794837296621,0.010762499271710677
synt_DEPREL_cc_prop,activation_steering,0.014520541265203647,0.39018975549127316,0.014080652809283105
synt_DEPREL_cc_md,baseline,1.1101856755317572,0.5162525383278337,0.9706306117681532
synt_DEPREL_cc_md,prompt_steering,2.156780505796202,0.7966688117726154,6.445384438863637
synt_DEPREL_cc_md,activation_steering,0.977276503166596,0.47155577687362527,0.7050670852950559
synt_DEPREL_conj_prop,baseline,0.021176568759971596,0.4087179098722159,0.01386380806473352
synt_DEPREL_conj_prop,prompt_steering,0.025470093720216965,0.5384151189746864,0.013975900424658527
synt_DEPREL_conj_prop,activation_steering,0.018494688066502007,0.3566889672636443,0.013612822634602614
synt_DEPREL_conj_md,baseline,8.02889748648202,0.4338969095952204,8.727628915546518
synt_DEPREL_conj_md,prompt_steering,9.802881623845881,0.5403791852299261,11.4062004890482
synt_DEPREL_conj_md,activation_steering,8.239506468694772,0.4580223844497158,8.794812690400605
synt_DEPREL_case_prop,baseline,0.02403569895893941,0.2723685545843419,0.012345065040199608
synt_DEPREL_case_prop,prompt_steering,0.029278611326497915,0.2851773701134755,0.029200990401200323
synt_DEPREL_case_prop,activation_steering,0.02058749451418976,0.2343587075685588,0.012742607433889672
synt_DEPREL_case_md,baseline,0.62495381610873,0.16417200494442735,1.3999361758182778
synt_DEPREL_case_md,prompt_steering,0.6740661030078368,0.190585693145247,1.4021447375681255
synt_DEPREL_case_md,activation_steering,0.5982862324689145,0.14903632144632356,1.4185113068282416
synt_DEPREL_nmod_prop,baseline,0.022874313741578493,0.8797973003334291,0.009938870602947897
synt_DEPREL_nmod_prop,prompt_steering,0.020849123955466283,0.5878014027200544,0.01772582219802379
synt_DEPREL_nmod_prop,activation_steering,0.020975507128972393,0.835089886539624,0.011356584849333258
synt_DEPREL_nmod_md,baseline,2.861020747077829,0.2866949156888795,5.097750453149874
