text_id_gen,text_id_orig,author,title,sample_idx,rep,method,lang,euclidean_distance
happiness__s02__r01,happiness__s02,woolf,happiness,2,1.0,prompt_steering,eng,
ancestors__s02__r02,ancestors__s02,woolf,ancestors,2,2.0,prompt_steering,eng,
ancestors__s02__r01,ancestors__s02,woolf,ancestors,2,1.0,prompt_steering,eng,
happiness__s02__r02,happiness__s02,woolf,happiness,2,2.0,prompt_steering,eng,
happiness__s00__r01,happiness__s00,woolf,happiness,0,1.0,prompt_steering,eng,
brasilia__s00__r00,brasilia__s00,lispector,brasilia,0,0.0,prompt_steering,pt,
brasilia__s02__r02,brasilia__s02,lispector,brasilia,2,2.0,prompt_steering,pt,
brasilia__s00__r01,brasilia__s00,lispector,brasilia,0,1.0,prompt_steering,pt,
brasilia__s01__r00,brasilia__s01,lispector,brasilia,1,0.0,prompt_steering,pt,
brasilia__s02__r00,brasilia__s02,lispector,brasilia,2,0.0,prompt_steering,pt,
brasilia__s01__r02,brasilia__s01,lispector,brasilia,1,2.0,prompt_steering,pt,
brasilia__s01__r01,brasilia__s01,lispector,brasilia,1,1.0,prompt_steering,pt,
brasilia__s00__r02,brasilia__s00,lispector,brasilia,0,2.0,prompt_steering,pt,
brasilia__s02__r01,brasilia__s02,lispector,brasilia,2,1.0,prompt_steering,pt,
brasil__s01__r00,brasil__s01,wikipedia_pt,brasil,1,0.0,activation_steering,pt,5.956062561459006
brasil__s02__r02,brasil__s02,wikipedia_pt,brasil,2,2.0,activation_steering,pt,5.112446121875879
brasil__s02__r01,brasil__s02,wikipedia_pt,brasil,2,1.0,activation_steering,pt,6.567833434407243
brasil__s00__r02,brasil__s00,wikipedia_pt,brasil,0,2.0,activation_steering,pt,
brasil__s01__r02,brasil__s01,wikipedia_pt,brasil,1,2.0,activation_steering,pt,6.266851801355021
brasil__s02__r00,brasil__s02,wikipedia_pt,brasil,2,0.0,activation_steering,pt,5.766034195751497
brasil__s00__r01,brasil__s00,wikipedia_pt,brasil,0,1.0,activation_steering,pt,7.314265357382794
brasil__s01__r01,brasil__s01,wikipedia_pt,brasil,1,1.0,activation_steering,pt,7.0289958017094545
brasil__s00__r00,brasil__s00,wikipedia_pt,brasil,0,0.0,activation_steering,pt,7.355062157157116
happiness__s02__r00,happiness__s02,woolf,happiness,2,0.0,activation_steering,eng,10.94025642078794
ancestors__s01__r00,ancestors__s01,woolf,ancestors,1,0.0,activation_steering,eng,6.606246972745405
ancestors__s02__r00,ancestors__s02,woolf,ancestors,2,0.0,activation_steering,eng,42.287556752727404
happiness__s00__r00,happiness__s00,woolf,happiness,0,0.0,activation_steering,eng,4.797350735730661
ancestors__s01__r02,ancestors__s01,woolf,ancestors,1,2.0,activation_steering,eng,7.009915811768858
happiness__s00__r02,happiness__s00,woolf,happiness,0,2.0,activation_steering,eng,7.289680660377544
ancestors__s01__r01,ancestors__s01,woolf,ancestors,1,1.0,activation_steering,eng,7.575093393193998
ancestors__s00__r01,ancestors__s00,woolf,ancestors,0,1.0,activation_steering,eng,5.980246337085913
happiness__s01__r00,happiness__s01,woolf,happiness,1,0.0,activation_steering,eng,27.683142788408272
happiness__s01__r02,happiness__s01,woolf,happiness,1,2.0,activation_steering,eng,27.169762098208725
ancestors__s00__r00,ancestors__s00,woolf,ancestors,0,0.0,activation_steering,eng,6.585407992468177
happiness__s01__r01,happiness__s01,woolf,happiness,1,1.0,activation_steering,eng,28.188799173514948
ancestors__s00__r02,ancestors__s00,woolf,ancestors,0,2.0,activation_steering,eng,
happiness__s02__r01,happiness__s02,woolf,happiness,2,1.0,activation_steering,eng,11.82070033815586
ancestors__s02__r02,ancestors__s02,woolf,ancestors,2,2.0,activation_steering,eng,42.11125901809741
ancestors__s02__r01,ancestors__s02,woolf,ancestors,2,1.0,activation_steering,eng,41.39624352384307
happiness__s02__r02,happiness__s02,woolf,happiness,2,2.0,activation_steering,eng,11.8225470953651
happiness__s00__r01,happiness__s00,woolf,happiness,0,1.0,activation_steering,eng,4.858337055320199
brasilia__s00__r00,brasilia__s00,lispector,brasilia,0,0.0,activation_steering,pt,4.5586151315233545
brasilia__s02__r02,brasilia__s02,lispector,brasilia,2,2.0,activation_steering,pt,6.013181019067968
brasilia__s00__r01,brasilia__s00,lispector,brasilia,0,1.0,activation_steering,pt,6.24445559139778
brasilia__s01__r00,brasilia__s01,lispector,brasilia,1,0.0,activation_steering,pt,6.5084024177568764
brasilia__s02__r00,brasilia__s02,lispector,brasilia,2,0.0,activation_steering,pt,5.640949871851413
brasilia__s01__r02,brasilia__s01,lispector,brasilia,1,2.0,activation_steering,pt,7.1518213851775645
brasilia__s01__r01,brasilia__s01,lispector,brasilia,1,1.0,activation_steering,pt,
brasilia__s00__r02,brasilia__s00,lispector,brasilia,0,2.0,activation_steering,pt,
brasilia__s02__r01,brasilia__s02,lispector,brasilia,2,1.0,activation_steering,pt,6.347295558789264
