metric,f_statistic,p_value,eta_squared,cv,significant,type,description
basic_tokens_per_sentence_mean,26.754796603284653,7.220140243566115e-11,0.5890342291324716,0.4098907134166792,Sim,Léxica,Tamanho médio de frases
basic_ttr,7.337105100210336,0.0003117656830909492,0.28215541829805496,0.05143516281676694,Sim,Léxica,Riqueza vocabular (Type-Token Ratio)
