,PC1,PC2,PC3,PC4,PC5
synt_DEPREL_cop_md,0.040901775661739075,-0.06645828856738967,-0.10561995621836877,0.1678683501078527,-0.1659275149534304
synt_DEPREL_xcomp_prop,0.02263761488620511,0.10693021187556814,0.1295996607222466,-0.07612780634345963,0.0037383633700222786
synt_DEPREL_xcomp_md,0.19628651334046526,-0.0873115280681987,0.1183741345083664,-0.06712405349862885,0.05240311326987192
synt_DEPREL_acl:relcl_prop,0.057535775454970864,0.0490813457558486,0.0940619956139761,-0.14915404716424255,-0.08084161782629727
synt_DEPREL_acl:relcl_md,0.18865197987413404,-0.05048891561166274,0.09589373422375008,-0.16583110689527772,-0.15777759570103503
synt_UPOS_DET_md,0.08489801840534227,0.001967135368559563,-0.1761021105236176,0.18798683070334035,-0.12276917241440843
synt_UPOS_NOUN_prop,-0.06196524903736222,-0.11263186351492603,-0.07016064583227316,-0.031027463968661625,-0.11563287184027277
synt_UPOS_NOUN_md,0.21976155143121792,-0.093389381862165,0.039259651717579176,-0.001489555400108079,0.022893647454187056
synt_UPOS_ADP_prop,-0.11046312427791499,-0.1813972979830346,0.1757849883932224,-0.12278172881277541,0.09192040912284133
synt_UPOS_ADP_md,0.19487781798736312,-0.05526002178002347,0.007977525943200454,-0.12535978209756038,-0.20084716172911796
synt_UPOS_PUNCT_md,0.22811101455836197,0.02136732829399136,-0.025651647910919086,0.0646571505752562,-0.03749611910115462
synt_UPOS_VERB_prop,0.028347600207984068,0.24536401813711015,0.06319391808669092,-0.006120793001842928,0.0967853500074157
synt_UPOS_VERB_md,0.23471096915387965,-0.04707226439046234,-0.03829015029024403,0.04779605743434405,-0.007627896661570621
synt_UPOS_ADJ_md,0.20688052049741318,0.0053069343736583926,0.04134897650509352,-0.1072829011803099,-0.03705691737995745
synt_UPOS_ADV_md,0.13791920958013063,-0.066772888285228,0.05856381936889611,0.17866552563573332,0.204074832784392
synt_UPOS_PROPN_prop,-0.04323808988235404,-0.16646385840787925,0.024270466873062446,0.0545748702030598,-0.03121361360384366
synt_UPOS_PROPN_md,0.16200304042778027,-0.10123818845528147,0.0735138219078036,0.01627941672768644,0.24008906964187887
synt_UPOS_AUX_prop,0.07803253979200286,0.18967442553033062,-0.13256566545515938,-0.029753660921379387,-0.05031531500060035
synt_UPOS_AUX_md,0.056317363468467434,-0.005710525754205011,-0.03805909219039492,0.14021686956439183,0.024825902444972445
synt_UPOS_PRON_prop,0.14515584585655386,0.18526416902361514,-0.02856844018343047,0.01716482349608356,0.11346620526553289
synt_UPOS_PRON_md,0.14811435299684197,-0.06287805546095672,0.04313683833353186,-0.05571761769111143,0.13440148101404578
synt_UPOS_SCONJ_prop,0.07198226117786656,0.17414471674413526,0.1021647452422647,0.07121786156812349,-0.016561919070751527
synt_UPOS_SCONJ_md,0.08051128611187693,-0.11082193469705,0.0940856495438111,0.15886616537358858,0.2852806864539388
synt_UPOS_total_words,-0.14133261467467273,-0.08128429816138338,0.19324656346056235,-0.0740982715350118,-0.01697841971373508
