metric,f_statistic,p_value,eta_squared,cv,significant,type
synt_DEPREL_acl:relcl_md,0.926541138182294,0.4340122281800112,0.04728889457054562,0.39108032473819704,Não,Sintática
synt_DEPREL_acl:relcl_prop,0.7847374531272172,0.5074747476510201,0.04034348617170844,0.11732130050716862,Não,Sintática
synt_DEPREL_appos_prop,43.77395049350465,1.750122226725438e-14,0.0,0.7494307117792776,Sim,Sintática
synt_DEPREL_appos_md,2.0496189055023923,0.11778629615596849,0.0,0.37269392020515557,Não,Sintática
synt_DEPREL_acl_prop,15.981859597536301,1.360820736946159e-07,0.0,0.4415215756383605,Sim,Sintática
synt_DEPREL_xcomp_prop,2.2591212120471154,0.09172331742176007,0.0,0.17699450177780018,Não,Sintática
synt_DEPREL_acl_md,1.4002237994828708,0.2525059112503208,0.0,0.5158462362575362,Não,Sintática
synt_DEPREL_xcomp_md,2.158461837631565,0.10333545952063931,0.0,0.3967460894673247,Não,Sintática
synt_UPOS_PROPN_prop,8.688383696732323,8.201646584358388e-05,0.0,0.521114193932506,Sim,Sintática
synt_UPOS_PROPN_md,3.6509067678626446,0.01792266225548233,0.0,0.34748363116058534,Sim,Sintática
synt_UPOS_SCONJ_prop,14.57201572831352,4.2140807048514193e-07,0.0,0.4085756303203582,Sim,Sintática
synt_UPOS_SCONJ_md,2.7590450403391413,0.05080124047625994,0.0,0.2984605504861945,Não,Sintática
