method,n_samples,mean_cv_global,std_cv_global,min_cv,max_cv
baseline,60,0.197679807197466,0.1264087498640715,0.03060783095386205,0.6710626627819134
prompt_steering,60,0.3419541651091243,0.1395786850129466,0.06847166759811624,0.6495751808854844
activation_steering,60,0.18929240120501276,0.11509611344990182,0.028273348625798892,0.584267390924955
