author,title,sample_idx,condition,lang,basic_ttr_cv,basic_tokens_per_sentence_mean_cv,basic_chars_per_token_mean_cv,basic_n_unique_unigrams_cv,basic_n_unique_bigrams_cv,basic_n_repeated_bigrams_cv,basic_n_unique_trigrams_cv,basic_n_repeated_trigrams_cv,synt_mean_dependency_distance_cv,synt_DEPREL_det_prop_cv,synt_DEPREL_det_md_cv,synt_DEPREL_root_prop_cv,synt_DEPREL_root_md_cv,synt_DEPREL_cc_prop_cv,synt_DEPREL_cc_md_cv,synt_DEPREL_conj_prop_cv,synt_DEPREL_conj_md_cv,synt_DEPREL_case_prop_cv,synt_DEPREL_case_md_cv,synt_DEPREL_nmod_prop_cv,synt_DEPREL_nmod_md_cv,synt_DEPREL_punct_prop_cv,synt_DEPREL_obj_prop_cv,synt_DEPREL_obj_md_cv,synt_DEPREL_amod_prop_cv,synt_DEPREL_amod_md_cv,synt_DEPREL_appos_prop_cv,synt_DEPREL_appos_md_cv,synt_DEPREL_nsubj_prop_cv,synt_DEPREL_nsubj_md_cv,synt_DEPREL_mark_prop_cv,synt_DEPREL_mark_md_cv,synt_DEPREL_acl_prop_cv,synt_DEPREL_acl_md_cv,synt_DEPREL_advmod_prop_cv,synt_DEPREL_advmod_md_cv,synt_DEPREL_obl_prop_cv,synt_DEPREL_obl_md_cv,synt_DEPREL_advcl_prop_cv,synt_DEPREL_advcl_md_cv,synt_DEPREL_cop_prop_cv,synt_DEPREL_cop_md_cv,synt_DEPREL_xcomp_prop_cv,synt_DEPREL_xcomp_md_cv,synt_DEPREL_acl:relcl_prop_cv,synt_DEPREL_acl:relcl_md_cv,synt_UPOS_DET_md_cv,synt_UPOS_NOUN_prop_cv,synt_UPOS_NOUN_md_cv,synt_UPOS_ADP_prop_cv,synt_UPOS_ADP_md_cv,synt_UPOS_PUNCT_md_cv,synt_UPOS_VERB_prop_cv,synt_UPOS_VERB_md_cv,synt_UPOS_ADJ_md_cv,synt_UPOS_ADV_md_cv,synt_UPOS_PROPN_prop_cv,synt_UPOS_PROPN_md_cv,synt_UPOS_AUX_prop_cv,synt_UPOS_AUX_md_cv,synt_UPOS_PRON_prop_cv,synt_UPOS_PRON_md_cv,synt_UPOS_SCONJ_prop_cv,synt_UPOS_SCONJ_md_cv,synt_UPOS_total_words_cv
wikipedia_pt,brasil,2,baseline,pt,0.0238560712993101,0.09742323440514677,0.016959262684815443,0.01954877060472353,0.01795702897838204,0.16610022791762122,0.02487837435704793,0.3591405795676407,0.020899659032256223,0.10270705983357893,0.06312053758181178,0.1429160232922959,0.11912621085875541,0.1312441529572656,0.45324422997559505,0.16634361422216973,0.20148681635778198,0.06337586871919323,0.03954168968379699,0.07581387589725863,0.08783775940900032,0.04158990494575421,0.07252302495244811,0.1279161050066718,0.14731534403090396,0.09784673192851784,,,0.07201578025975809,0.07707519937834421,0.10667105876322791,0.24118819447136,0.438956026052081,0.4159451654038515,0.26224946214751144,0.4076039869047138,0.10078738632993045,0.15891075729223897,0.3108793992275952,0.06185895741317418,0.2338086076918475,0.42142615011410967,0.9223527219720544,0.385694607919935,0.16777125794370362,0.07740936872977015,0.059113371860168254,0.06245900774668842,0.02179356811190656,0.05487942360601701,0.028284663764466866,0.00924299703264658,0.049188538528819166,0.016732584369115427,0.15062196001783426,0.26082292426213616,0.6380185030521371,0.32602796801579437,0.4606365637107818,0.3355804169045057,0.15281655184631476,0.10994518571563236,0.4241320701257701,0.24826124140009798,0.025988141937367714
wikipedia_pt,brasil,2,prompt_steering,pt,0.2662729746923213,0.1289297658557968,0.11835295778459658,0.19331107191083988,0.1685997963465792,0.4925687433670033,0.11942676792513357,0.9320561106894782,0.01943229832103943,0.13917672614818205,0.02913393338671638,0.13422873670283714,0.24379261045812461,0.985315580211654,0.2463311598026605,0.7993991454637914,0.4034600045210497,0.11207869185781426,0.07980062627089965,0.278387687812334,0.056321254021923506,0.24295590964460387,0.48732428853399035,0.1549520125126404,0.15065330078265873,0.07998590386538319,,,0.31296785750553185,0.15961819288254644,0.04541804434440434,0.787295821622217,0.059867930674296195,0.0,0.23861177801100758,0.2505992817228333,0.3343749732698477,0.22517394613750397,,,0.882178599163204,0.11130143092972643,0.08051155252132852,0.12856486930664496,,,0.029198818270603746,0.14574600962264492,0.03517322781966968,0.09308711795456495,0.06335383429146954,0.4241696570892674,0.29271510994261124,0.21876746225241483,0.3022320926688458,0.2529774847234071,,,0.9027655258054313,0.09216614587451417,0.9471291163969832,0.11348342538510969,,,0.044424928730562155
wikipedia_pt,história-da-inteligência-artificial,0,activation_steering,pt,0.03400388839759952,0.11866754382270717,0.013594361484322505,0.02848936709303679,0.011698536432370548,0.07150679219093488,0.018364592153881934,0.39970403251589476,0.01932764932400123,0.08567569344443736,0.01615321350055489,0.11624697287586287,0.1756091787720976,0.40630675720233705,0.3018900920791113,0.3683126449736352,0.12252682565054011,0.046465405970036795,0.03912671497182185,0.03292053006320608,0.015337222330718672,0.12933024258896308,0.21348289702844794,0.019801035857983637,0.0934277474749427,0.0347402740773128,0.4895608410385358,0.23271424847687752,0.0872585777983704,0.1924901049619673,0.289912886788115,0.2717658581500149,0.18340476284835772,0.5002314084482784,0.23356068253902426,0.37019105893895277,0.1554707263104081,0.09770458584098551,0.32671533810024556,0.14226953133862258,0.4235710119410245,0.24743582965269678,0.17240947530198497,0.11247495233235748,0.3450875285596486,0.15251688394210175,0.016502939007082173,0.026716947675171358,0.07468126057220147,0.042685355207545406,0.04217939223387199,0.1531551195407064,0.039807100638689315,0.054903740714720276,0.046745396906206556,0.19867985355975656,0.1633383814231257,0.108866174324204,0.5271838768467177,0.08171091145036366,0.22628266274267805,0.22416284580537743,0.1642271159130903,0.19346519100727877,0.01047860435152082
wikipedia_pt,história-da-inteligência-artificial,0,baseline,pt,0.015561702490995285,0.07657168517142272,0.018020984909329407,0.024958778915193814,0.026569862881140157,0.07905603656391534,0.027756744247318933,0.13323467750529827,0.057182111000505284,0.04754684518777026,0.004108318052079968,0.07260208634333833,0.1448304249274089,0.32180411270235915,0.22042157143396607,0.34702722816557735,0.22566506792172425,0.079655711207664,0.06400670982920804,0.17997014549050003,0.1345814016778423,0.12217375579541535,0.26298096217758243,0.12957935499630102,0.061242772499405226,0.0333156879603431,0.6890144905139113,0.4984857956612806,0.12277414223005954,0.24652091279445798,0.39146060415087497,0.5304669726770043,0.24958882075035385,0.06904527458708841,0.39102263136141496,0.10484004779666065,0.28178216898106123,0.14442551867488904,0.4650384632494887,0.15227007448353747,0.43028683723786343,1.0513149660756937,0.19535533273505934,0.13883397508817621,0.10674825427128061,0.1738607003583324,0.01033771839483563,0.05402492394755409,0.11166654283970649,0.05658958159635061,0.10998840880585188,0.12856138957073623,0.16481607328476147,0.12126032904550696,0.05065886763084448,0.07143940779647652,0.12084696907828207,0.06736966789523927,0.19004538162458948,0.8700979514545051,0.18770815707078412,0.08736928570499952,0.4849004436029384,0.3441546183011336,0.02116281551582551
wikipedia_pt,história-da-inteligência-artificial,0,prompt_steering,pt,0.012772387778068035,0.17829052327087086,0.03911892116190643,0.041412853297866495,0.03826212951339282,0.1369734057006,0.020223859715923033,0.3360092644622341,0.04999347120405326,0.2750091842814547,0.04597657079611194,0.16390745803874052,0.14803113832454243,0.9674194954725582,0.48171562977638965,0.8432802424480846,0.14370492342041857,0.06775118390081884,0.10737011365717561,0.2378803051708547,0.010816978262632363,0.05303029584494021,0.11983687434930607,0.04933055874171322,0.15904286693456132,0.08773362869027626,,,0.16207094161767793,0.16096594722765273,0.19162794561050192,0.119348953267438,0.20631134441144755,0.692820323027551,0.2699536003579959,0.4515672376808756,0.05644738932594176,0.15828559592731778,0.47047922153919813,0.20404957933164192,0.6733633098081213,0.3333333333333333,0.2928289754446056,0.18211458849479262,0.6305354735130483,0.2204792759220492,0.047145292333250884,0.14232077358024728,0.09789410098143017,0.0638145664308909,0.09949203332006692,0.0640173646640754,0.11080787919314361,0.1359987772963164,0.10874661643550508,0.4515672376808756,0.6036654562135619,0.16362517689918643,0.3436214511345201,0.07715107231598081,0.3590491641077929,0.10913189958534299,0.4243982063974912,0.21742650890964516,0.03591998255258276
wikipedia_pt,história-da-inteligência-artificial,1,activation_steering,pt,0.05114490428334938,0.03895525772556762,0.022301274937177235,0.06490635345152956,0.029792898957400546,0.18584236132713275,0.012210967866307787,0.550281358362322,0.029513105141595795,0.015757603619932142,0.06553838404492358,0.037509141961294096,0.1137583463300053,0.21537230490548104,0.5180163059544539,0.3230712081035003,0.1087140396815566,0.08596996404515113,0.03624816056682469,0.1940157748496246,0.12837158879025426,0.13098460109404972,0.24706163881537183,0.05466861286921157,0.1432056780643518,0.02595792356813386,0.4303509940507264,0.5529784118452926,0.10294583100151375,0.17395280648344538,0.33772096244915306,0.12318537225558392,0.22331412807167278,0.11425445837261343,0.2003385803841077,0.18852160123887432,0.11610169381133445,0.1024451554046418,0.11414641497146842,0.14774570038709445,0.16878577179610968,0.4966065909142146,0.336666568126013,0.0645433196472653,0.16517214055440996,0.5226556813930768,0.06447144411255175,0.05078474719901052,0.07455855730835476,0.04077041999428053,0.08772094649933881,0.11086714834904503,0.09243229717723321,0.13414602616221633,0.24519001077237723,0.1021984595665343,0.05376685516059927,0.21197912413054032,0.1424351782209038,0.2538711747675359,0.1624952296822029,0.09695003283097661,0.38111573884834493,0.140636775640003,0.006591695667117535
wikipedia_pt,história-da-inteligência-artificial,1,baseline,pt,0.05766815844531765,0.1156706096772064,0.010613331274590673,0.043342442563068066,0.051886348781976725,0.26892353322496537,0.027354714835976523,0.4165977904505309,0.047527521782722,0.057307475676319476,0.045731948693679934,0.11874935505026449,0.11319753487885575,0.3130340994524914,0.09165151389911677,0.4186340056564832,0.07837193081539862,0.07251298680439365,0.05901951626496051,0.14509748206420697,0.18884491030660205,0.16334357648270492,0.09194624196590108,0.03541837420133568,0.08589595143326137,0.008275941663902449,0.014857386608094339,0.1872487359533922,0.17084903815567612,0.22226763032087965,0.14465357288659422,0.4920014899599125,0.1313202512730201,0.3502090615207934,0.27624258348923025,0.20607611798082257,0.10847678122602333,0.0742453436943975,0.5419829418021396,0.235408225508019,0.9762701130808351,0.3282536710987283,0.13872930965538066,0.20904061470658858,0.8198925299779949,0.3609426484621645,0.05684299179644459,0.08038756472690888,0.11910186767842722,0.060184760306385726,0.025315142489778286,0.11373471592270523,0.041004597825280334,0.07735495074706754,0.1540270531912759,0.19544994476945382,0.3005542062967351,0.21801435437836675,0.9586308625292653,0.15745916432444337,0.5070023325301988,0.35801870507768957,0.25277378325763006,0.44075109549494673,0.014961667379902557
wikipedia_pt,história-da-inteligência-artificial,1,prompt_steering,pt,0.10738962697227501,0.21188613134620193,0.03345186489398152,0.04661324369487074,0.005305039787798408,0.31627481088571296,0.046931699175157625,0.5907086404255449,0.03683369355301696,0.1827623598145235,0.034353058666752916,0.19310850899859772,0.13021091940477228,0.655470296466391,0.20549755344037526,0.8215280181888026,0.0942809041582063,0.2624453265640306,0.05205004147498334,0.5236261350248107,0.06704329975853128,0.14144222722688546,0.13610993402137475,0.09834110518690399,0.4576053972730281,0.02337410041879491,,,0.15307836706135716,0.08447318778862338,0.3758977731963897,0.527425213975339,0.10610235360045518,0.0,0.1265546008579701,0.06384544240406874,0.14058867064064645,0.1073563489236214,0.10610235360045404,0.048765984909417116,0.41274519624555567,0.1425402326499785,0.47157020466484195,0.12058589518366898,0.5178810228408731,0.0,0.03449112117293329,0.2033258322111693,0.08388116025009297,0.2737307780389935,0.014535544065561934,0.2631756700294089,0.15288605318210552,0.1345164580913122,0.22959185929005105,0.06026628585049904,0.42956888153821204,0.15151515151515152,0.4345911273206471,0.1395972155642722,0.5446839703837881,0.09295041135062171,0.6926944218213185,0.08660254037844388,0.07512401754538553
wikipedia_pt,história-da-inteligência-artificial,2,activation_steering,pt,0.044548227303934124,0.084363424886803,0.01845865562251635,0.025774773946109886,0.04232473532055042,0.22876298358494965,0.05071651889923241,0.5800170282728083,0.05452246985769326,0.01779974201804553,0.03323999170750752,0.09517027322003246,0.20856779634618502,0.09517027322003246,0.06913326186431204,0.020677588303627547,0.10268648099890494,0.0838962999214711,0.056078953447921215,0.04087663715506098,0.08621591991984934,0.22059891254396952,0.17926420707275353,0.05765881261243981,0.14323728428719734,0.14689685230486585,0.6976639854368005,0.19328948819580255,0.2783182623957934,0.3747964986238408,0.6870806492086491,0.2886751345948129,0.32242300016196873,0.5433308072054333,0.5158496927760362,0.6837896684988832,0.09825282807916615,0.23243123951334657,0.4981758262652769,0.19767285148198205,,,0.3320388309010339,0.0666666666666667,1.0698384201807558,0.3525058226889108,0.03920332028500276,0.11760260359923637,0.09857072437136231,0.07490735673242165,0.0675124744315396,0.268451950118877,0.21342522595385166,0.21360675555615105,0.14048270522795533,0.9136740834744381,0.40439403228379317,0.4157700648463157,0.5422258784893296,0.0,0.7981018241508497,0.21766242986099435,0.52671255460827,0.0,0.047852160204681006
wikipedia_pt,história-da-inteligência-artificial,2,baseline,pt,0.03374527510603445,0.11153171556543698,0.025089151870230374,0.05403533403477263,0.05101955667635709,0.12706164225408753,0.043610321217865906,0.45069390943299864,0.05398700463342471,0.048365964223947115,0.06161710176244466,0.10446443118494476,0.2785468992424367,0.2544405369301869,0.265165505729184,0.3877233217583144,0.027639451267903004,0.10196419924051543,0.0410904201541205,0.2677850453952288,0.07651150334160682,0.12111588635406606,0.19809958357666704,0.02371624338985658,0.11456485954464049,0.013496568045813048,0.38977524969194777,0.07715107231598078,0.0945400132504192,0.3591101020877189,0.678253145490675,0.1893142961986781,0.3265130106293244,0.1904146357673452,0.3377523613691971,0.18732761803901601,0.18750523461869378,0.17924214633834806,0.5215767224884212,0.03921568627450979,0.3177429930279776,0.3333333333333333,0.2546448149048569,0.3991490560623142,0.39468333644484366,0.1534728563668626,0.05140867777350479,0.07692159715436708,0.1933279847031418,0.04011001301046187,0.08311896593176588,0.11893050349716788,0.1574477540746822,0.20775344099833118,0.1780244789543592,0.2759006764677067,0.2921245688330474,0.3001457818216521,0.23458095620237135,0.2,0.3248643721419862,0.27857621692606244,0.6050991847432091,0.15633107621898581,0.04013874400063011
