text_id,author,title,sample_idx,rep,condition,lang,n_windows,ttr_slope,ttr_r2,ttr_p_value,ttr_initial,ttr_final,tokens_per_sentence_mean_slope,tokens_per_sentence_mean_r2,tokens_per_sentence_mean_p_value,tokens_per_sentence_mean_initial,tokens_per_sentence_mean_final,chars_per_token_mean_slope,chars_per_token_mean_r2,chars_per_token_mean_p_value,chars_per_token_mean_initial,chars_per_token_mean_final,n_unique_unigrams_slope,n_unique_unigrams_r2,n_unique_unigrams_p_value,n_unique_unigrams_initial,n_unique_unigrams_final,n_unique_bigrams_slope,n_unique_bigrams_r2,n_unique_bigrams_p_value,n_unique_bigrams_initial,n_unique_bigrams_final,n_repeated_bigrams_slope,n_repeated_bigrams_r2,n_repeated_bigrams_p_value,n_repeated_bigrams_initial,n_repeated_bigrams_final,n_unique_trigrams_slope,n_unique_trigrams_r2,n_unique_trigrams_p_value,n_unique_trigrams_initial,n_unique_trigrams_final,n_repeated_trigrams_slope,n_repeated_trigrams_r2,n_repeated_trigrams_p_value,n_repeated_trigrams_initial,n_repeated_trigrams_final
um-dia-a-menos__s00__r02,lispector,um-dia-a-menos,0,2.0,baseline,pt,15,-0.16784061235117181,0.06805985831149865,0.3476565620661167,0.7040816326530612,0.4545454545454545,-9.57325343738387,0.07513105195108845,0.3228608590380899,32.666666666666664,22.0,-0.06526750617966076,0.004846836523812731,0.805263962536953,4.494252873563219,4.166666666666667,-17.166666666666664,0.09958884049264044,0.2518884120710012,66,50,-16.83333333333333,0.053032981201131243,0.4089662191057878,95,80,26.66666666666666,0.06224893739118594,0.36984164885499216,3,43,-12.33333333333333,0.06244868168962685,0.369049465265166,96,89,21.999999999999996,0.06445503240507826,0.3612122686242054,0,29
a-bela-e-a-fera-ou-a-ferida-grande-demais__s00__r00,lispector,a-bela-e-a-fera-ou-a-ferida-grande-demais,0,0.0,baseline,pt,15,-0.07922180038804963,0.07131927862732562,0.3359454136221426,0.7010309278350515,0.6111111111111112,-9.777937900306322,0.09069936389623504,0.275366534865025,32.333333333333336,27.0,-0.1331111089046506,0.006230671261923116,0.7797641293250452,4.4523809523809526,4.177777777777778,-6.166666666666665,0.07232671174978866,0.3324249755207871,64,64,-5.166666666666665,0.041529818496110614,0.46630946420719865,93,103,6.166666666666666,0.020396305125148985,0.6116268159911462,6,8,2.6666666666666665,0.03663423010875788,0.49439079555624565,94,105,-1.5000000000000004,0.006408227848101273,0.7767204153742202,2,2
um-dia-a-menos__s01__r01,lispector,um-dia-a-menos,1,1.0,baseline,pt,15,-0.03546778780182439,0.05582072482963428,0.3965707753515676,0.5980392156862745,0.6306306306306306,8.410661268556003,0.08844355282656877,0.28171437275151834,12.75,18.5,-0.5349705981961458,0.10628737022144619,0.2356746574904473,5.285714285714286,4.072164948453608,-4.0,0.02849792202651891,0.5475518699631796,60,67,2.999999999999999,0.009714559846485962,0.726739036955672,88,106,-2.1666666666666665,0.01171333518159135,0.7010285072455607,26,8,3.3333333333333326,0.016680567139282735,0.6464187999302622,93,109,-2.999999999999999,0.04960195958358848,0.42496491291354044,14,0
miss-algrave__s01__r01,lispector,miss-algrave,1,1.0,baseline,pt,15,-0.023390575986972712,0.0018677063637606087,0.8784551607204267,0.6509433962264151,0.6857142857142857,-7.999603174603173,0.07935695033281763,0.30907043683980984,26.5,17.5,-0.30018535660259604,0.09500918025903665,0.2636881964655403,4.566666666666666,4.533333333333333,-2.0000000000000004,0.001288336971692374,0.8989450421059451,66,67,3.528042056031052e-16,3.165227360480174e-35,1.0,100,100,3.6666666666666665,0.0021773163226746807,0.8688413590498019,9,8,2.333333333333332,0.003855838841674533,0.8259946374993796,104,101,1.499999999999999,0.000873522560607367,0.9167259049703764,0,4
a-bela-e-a-fera-ou-a-ferida-grande-demais__s01__r01,lispector,a-bela-e-a-fera-ou-a-ferida-grande-demais,1,1.0,baseline,pt,15,-0.15148232209493595,0.15658772475918747,0.14428601887816317,0.6952380952380952,0.6907216494845361,-4.558845525389642,0.04143076051759731,0.4668531056368781,21.0,16.166666666666668,-0.22634758010230457,0.1311454036325903,0.18469126814209028,4.241758241758242,4.448717948717949,-14.166666666666664,0.13637221593053983,0.17553564558919674,69,63,-18.83333333333333,0.11544372920584403,0.21533197032037452,101,94,24.499999999999996,0.14584120727822467,0.16012137934431014,6,4,-14.499999999999996,0.1312057966994869,0.18458269442245656,103,95,20.499999999999996,0.17966226486794595,0.11536895769547041,0,0
o-corpo__s01__r00,lispector,o-corpo,1,0.0,baseline,pt,15,-0.13180773571405263,0.166781435928471,0.13071933763058838,0.7009345794392523,0.6055045871559633,-5.55339617158839,0.033047796917880276,0.5167078775685835,35.666666666666664,18.166666666666668,0.08332422015464669,0.013918937172121395,0.6753943169870991,4.344086021505376,4.604395604395604,-10.666666666666666,0.07374864962189415,0.32753286959184635,70,62,-14.833333333333332,0.07985523026050487,0.3074913904137888,103,102,24.166666666666664,0.22407067951231993,0.07471049876575166,6,12,-10.666666666666664,0.09084457061745915,0.27496358639120494,104,106,19.333333333333332,0.24850409987441827,0.058572501652766756,2,2
miss-algrave__s01__r02,lispector,miss-algrave,1,2.0,baseline,pt,15,-0.1354177729762973,0.06612479100964712,0.35485154212073944,0.6415094339622641,0.6767676767676768,-8.904553376906318,0.08610499885667627,0.28847416722939,35.333333333333336,16.5,-0.18968717644071922,0.04788024017161742,0.4333251889443307,4.213483146067416,4.023255813953488,-11.499999999999998,0.06029635258358661,0.3777031253366673,64,63,-14.166666666666664,0.04838342440801456,0.43085788012459847,101,96,21.999999999999993,0.05837577057089251,0.3856505055509598,7,3,-11.999999999999996,0.06445516486795641,0.36121175828474306,104,97,20.83333333333333,0.07961702301123044,0.3082450648627582,0,0
a-bela-e-a-fera-ou-a-ferida-grande-demais__s00__r01,lispector,a-bela-e-a-fera-ou-a-ferida-grande-demais,0,1.0,baseline,pt,15,0.014356914603413503,0.015634691345704253,0.6570353646476859,0.6938775510204082,0.6699029126213593,-11.005555555555555,0.1835298876125225,0.11111515324430106,32.666666666666664,17.166666666666668,-0.06145689645319863,0.007943653761279873,0.7521006852412198,4.666666666666667,4.464285714285714,4.166666666666666,0.11730480480480479,0.2114338216190275,64,66,4.0,0.1374045801526718,0.17378354801446158,95,101,-1.3333333333333333,0.009925558312655087,0.7238932998498624,4,2,3.999999999999999,0.29813664596273287,0.0352313341671372,96,101,-0.8333333333333334,0.02208480565371025,0.597096502478796,0,0
brasilia__s00__r02,lispector,brasilia,0,2.0,baseline,pt,15,-0.17063283573557242,0.3366304693161664,0.02336241206300629,0.6226415094339622,0.6442307692307693,-1.43563074352548,0.00262579823138355,0.8560835360207809,26.5,20.8,-0.2216534276140921,0.047745332484781966,0.4339901187936106,4.26595744680851,4.8977272727272725,-16.166666666666664,0.21168556515478756,0.08440636138320644,64,62,-11.666666666666664,0.06346492591441301,0.36505279307786664,96,99,17.666666666666664,0.1313230481533427,0.1843720913524816,18,8,-6.999999999999999,0.05736958501365941,0.3899024604468758,104,102,13.33333333333333,0.2174799510670109,0.07973057590324013,0,0
um-dia-a-menos__s01__r02,lispector,um-dia-a-menos,1,2.0,baseline,pt,15,-0.1154559578813105,0.4863101844734286,0.0038533750879512292,0.6601941747572816,0.6019417475728155,-3.137373737373735,0.01531046414316091,0.6604110806765063,25.75,20.6,-0.1010224924724752,0.029297790670454342,0.5419012779123489,4.269662921348314,4.6477272727272725,-8.166666666666664,0.3368406285072951,0.02330899019810073,64,59,-4.333333333333333,0.20685434516523862,0.08850306732202123,99,95,10.999999999999998,0.3492623476587556,0.020339317992066265,6,14,1.6666666666666663,0.04078303425774876,0.4704317040371784,101,100,1.3333333333333333,0.15999999999999998,0.13959512937214466,0,2
