metric,n_nan,pct_nan
synt_UPOS_NUM_md,221,36.833333333333336
synt_UPOS_count_NUM,221,36.833333333333336
synt_DEPREL_nsubj:pass_md,154,25.666666666666664
synt_DEPREL_nsubj:pass_prop,154,25.666666666666664
synt_DEPREL_count_nsubj:pass,154,25.666666666666664
synt_DEPREL_count_fixed,140,23.333333333333332
synt_DEPREL_fixed_prop,140,23.333333333333332
synt_DEPREL_fixed_md,140,23.333333333333332
synt_DEPREL_aux_prop,129,21.5
synt_DEPREL_aux_md,129,21.5
synt_DEPREL_count_aux,129,21.5
synt_DEPREL_ccomp_prop,128,21.333333333333336
synt_DEPREL_ccomp_md,128,21.333333333333336
synt_DEPREL_count_ccomp,128,21.333333333333336
synt_DEPREL_count_aux:pass,127,21.166666666666668
synt_DEPREL_aux:pass_md,127,21.166666666666668
synt_DEPREL_aux:pass_prop,127,21.166666666666668
synt_DEPREL_appos_md,100,16.666666666666664
synt_DEPREL_count_appos,100,16.666666666666664
synt_DEPREL_appos_prop,100,16.666666666666664
synt_UPOS_PROPN_prop,94,15.666666666666668
synt_UPOS_count_PROPN,94,15.666666666666668
synt_UPOS_PROPN_md,94,15.666666666666668
synt_DEPREL_acl_prop,85,14.166666666666666
synt_DEPREL_acl_md,85,14.166666666666666
synt_DEPREL_count_acl,85,14.166666666666666
synt_UPOS_SCONJ_md,48,8.0
synt_UPOS_count_SCONJ,48,8.0
synt_UPOS_SCONJ_prop,48,8.0
synt_DEPREL_advcl_prop,47,7.833333333333334
synt_DEPREL_advcl_md,47,7.833333333333334
synt_DEPREL_count_advcl,47,7.833333333333334
synt_DEPREL_count_acl:relcl,40,6.666666666666667
synt_DEPREL_acl:relcl_prop,40,6.666666666666667
synt_DEPREL_acl:relcl_md,40,6.666666666666667
synt_DEPREL_cop_prop,38,6.333333333333334
synt_DEPREL_cop_md,38,6.333333333333334
synt_DEPREL_count_cop,38,6.333333333333334
synt_DEPREL_conj_md,30,5.0
synt_DEPREL_conj_prop,30,5.0
synt_DEPREL_count_conj,30,5.0
synt_DEPREL_xcomp_md,27,4.5
synt_DEPREL_xcomp_prop,27,4.5
synt_DEPREL_count_xcomp,27,4.5
synt_UPOS_CCONJ_md,24,4.0
synt_UPOS_count_CCONJ,24,4.0
synt_UPOS_CCONJ_prop,24,4.0
synt_DEPREL_cc_prop,24,4.0
synt_DEPREL_count_cc,24,4.0
synt_DEPREL_cc_md,24,4.0
synt_DEPREL_count_mark,18,3.0
synt_DEPREL_mark_md,18,3.0
synt_DEPREL_mark_prop,18,3.0
synt_DEPREL_amod_md,10,1.6666666666666667
synt_DEPREL_count_amod,10,1.6666666666666667
synt_DEPREL_amod_prop,10,1.6666666666666667
synt_UPOS_AUX_prop,9,1.5
synt_UPOS_count_AUX,9,1.5
synt_UPOS_AUX_md,9,1.5
synt_UPOS_count_ADV,7,1.1666666666666667
synt_UPOS_ADV_md,7,1.1666666666666667
synt_DEPREL_count_advmod,7,1.1666666666666667
synt_DEPREL_advmod_md,7,1.1666666666666667
synt_DEPREL_advmod_prop,7,1.1666666666666667
synt_UPOS_ADV_prop,7,1.1666666666666667
synt_DEPREL_obl_prop,5,0.8333333333333334
synt_DEPREL_obj_prop,5,0.8333333333333334
synt_DEPREL_obj_md,5,0.8333333333333334
synt_DEPREL_nmod_md,5,0.8333333333333334
synt_UPOS_ADJ_md,5,0.8333333333333334
synt_UPOS_count_ADJ,5,0.8333333333333334
synt_UPOS_ADJ_prop,5,0.8333333333333334
synt_DEPREL_count_obj,5,0.8333333333333334
synt_DEPREL_nmod_prop,5,0.8333333333333334
synt_DEPREL_count_nmod,5,0.8333333333333334
synt_DEPREL_obl_md,5,0.8333333333333334
synt_DEPREL_count_obl,5,0.8333333333333334
synt_UPOS_ADP_prop,4,0.6666666666666667
synt_UPOS_ADP_md,4,0.6666666666666667
synt_UPOS_count_ADP,4,0.6666666666666667
synt_DEPREL_count_det,4,0.6666666666666667
synt_DEPREL_det_prop,4,0.6666666666666667
synt_DEPREL_case_md,4,0.6666666666666667
synt_DEPREL_det_md,4,0.6666666666666667
synt_DEPREL_case_prop,4,0.6666666666666667
synt_DEPREL_count_case,4,0.6666666666666667
synt_UPOS_DET_md,4,0.6666666666666667
synt_UPOS_DET_prop,4,0.6666666666666667
synt_UPOS_count_NOUN,4,0.6666666666666667
synt_UPOS_NOUN_md,4,0.6666666666666667
synt_UPOS_NOUN_prop,4,0.6666666666666667
synt_UPOS_count_DET,4,0.6666666666666667
synt_DEPREL_punct_prop,3,0.5
synt_DEPREL_root_md,3,0.5
synt_DEPREL_punct_md,3,0.5
synt_UPOS_VERB_md,3,0.5
synt_UPOS_count_PRON,3,0.5
synt_UPOS_PRON_prop,3,0.5
synt_UPOS_VERB_prop,3,0.5
synt_DEPREL_count_punct,3,0.5
synt_DEPREL_count_root,3,0.5
synt_DEPREL_nsubj_md,3,0.5
synt_DEPREL_root_prop,3,0.5
synt_DEPREL_nsubj_prop,3,0.5
synt_DEPREL_count_nsubj,3,0.5
synt_UPOS_count_VERB,3,0.5
synt_UPOS_PRON_md,3,0.5
synt_UPOS_PUNCT_prop,3,0.5
synt_UPOS_PUNCT_md,3,0.5
synt_UPOS_count_PUNCT,3,0.5
basic_n_unique_bigrams,0,0.0
synt_DEPREL_total_words,0,0.0
basic_ttr,0,0.0
basic_n_repeated_bigrams,0,0.0
synt_mean_dependency_distance,0,0.0
basic_n_unique_unigrams,0,0.0
basic_chars_per_token_mean,0,0.0
basic_tokens_per_sentence_mean,0,0.0
basic_n_unique_trigrams,0,0.0
basic_n_repeated_trigrams,0,0.0
synt_UPOS_total_words,0,0.0
